# d0	d1	e0	e1	f0	f1	g0	g1	
# 
2.379474359172484288e+00 1.182691436607449104e-01 1.011162845159768953e+00 2.614154906744121099e-01 4.430489442336194572e-01 1.182591995695498610e-01 1.280870242277310611e+00 2.047631143510524332e-01
1.759026244618341561e+00 -2.439302919267333572e-02 1.513014754148498620e+00 2.223936592469707152e-01 3.242343149412552639e-01 1.177040621370793599e-01 1.210523822845487318e+00 6.371956787829806401e-02
1.908431819631289938e+00 1.144445107372327741e-01 1.207405280334487685e+00 3.342285063713982263e-01 3.869415542869095725e-01 8.726326953449960178e-02 1.223995049926166923e+00 1.601452896820926008e-01
2.080288238423219305e+00 -2.012165792945284915e-01 1.062388507034047080e+00 3.081237623267890635e-01 4.033086458607900160e-01 8.016178399884715811e-02 1.212195028591334989e+00 4.980871528746828869e-03
2.127598912392418828e+00 -7.202854087527872651e-02 1.075921926020106723e+00 3.104575866578075938e-01 4.159362441341992178e-01 9.291876928699277505e-02 1.236260544578677179e+00 8.150703520737032082e-02
2.140156523239762354e+00 2.359128747797831771e-01 1.160669206227667782e+00 2.251732297447213704e-01 4.006617194620866185e-01 1.304277853763058381e-01 1.265353859225925692e+00 2.058030291103777887e-01
2.186791784183752974e+00 -8.204790408465235940e-02 1.064628772587613570e+00 4.282400794066104077e-01 4.269289745147327730e-01 6.266841677356316254e-02 1.230636254447643241e+00 1.142207160399488913e-01
1.922534883217289492e+00 1.174698104463089143e-01 1.213115624203018550e+00 2.024838476404978993e-01 3.875787498152760691e-01 1.214888985431861745e-01 1.225995724267901599e+00 1.272878924366122877e-01
3.308380352635926780e+00 -4.937475404433718795e-01 8.298179951415054489e-01 3.012368424700477831e-01 5.644407231114596524e-01 3.820467723190370396e-02 1.360214822118624323e+00 1.335752723757554494e-01
2.422321573885320767e+00 -2.912049342936105512e-01 9.101964689365561467e-01 3.064738794967515334e-01 4.620019642072716870e-01 6.627542397147218045e-02 1.245912157324398084e+00 5.054782446631985587e-02
