# d0	d1	e0	e1	f0	f1	g0	g1	
# 
2.136862684258120204e+00 -1.213877229342155972e-01 1.159498817422269346e+00 3.558595069258789767e-01 3.926356822764474619e-01 9.029686085938785911e-02 1.258989809199857257e+00 1.173059748905060096e-01
2.282734583601201628e+00 -1.078865722546075608e-02 1.074146889965683194e+00 9.344451990022291377e-02 4.095547170278327487e-01 1.630814117390755047e-01 1.271259353113342483e+00 6.314863863953419643e-02
2.341559596293917078e+00 6.414474948151259737e-01 1.102923109907273158e+00 9.118701877749607609e-02 4.256857968719011120e-01 2.081746081384948377e-01 1.301196429065518245e+00 3.185029170681876187e-01
2.177021299489866557e+00 -3.732741621588935854e-01 1.020072921010218181e+00 -1.114969613953299861e-02 4.159965497205904139e-01 1.457810524970313548e-01 1.212921017310036209e+00 -1.002128567541923782e-01
2.238490119612644325e+00 1.512931055625294230e-01 1.039171173886861643e+00 4.773939668999642449e-02 4.113919136237199625e-01 1.636326464469854969e-01 1.249445350520794085e+00 4.781928990213601960e-02
2.164200679383264436e+00 2.778626104264255714e-01 1.056298682083575580e+00 1.853033001316728157e-01 4.167237492430228007e-01 1.407679099767606135e-01 1.240633187464787790e+00 1.613185549391158713e-01
1.653499012450577288e+00 2.403029253563968015e-01 1.652041732985345401e+00 -1.795760520559059881e-01 3.098333639794070282e-01 1.815714659662515940e-01 1.188873103414791466e+00 1.475030871869645321e-01
2.130996534118039243e+00 9.698718572535990068e-02 9.864346456644543792e-01 6.423262041522879995e-02 4.163907627267292577e-01 1.551903295459196308e-01 1.210417201561143852e+00 2.486107642622370495e-02
2.056768818095980667e+00 2.307233516095263115e-01 1.110121151319777955e+00 2.352871686472960411e-01 4.077168883336163563e-01 1.183479549588477703e-01 1.251703065030858930e+00 1.826876435815988631e-01
2.222177989074294313e+00 4.971914288581800179e-01 1.067328459665795259e+00 1.043818396071616444e-01 4.192827878318785562e-01 1.797133076892588610e-01 1.264015542901424372e+00 2.358768938174269081e-01
1.987986298853818390e+00 -1.786929177844819583e-01 1.163569088458718204e+00 4.252801037186751953e-01 3.834419934561657528e-01 6.853400756941362137e-02 1.232777938013641217e+00 7.381194096520908576e-02
1.978963245845448249e+00 7.672957151677628485e-02 1.122320615796937204e+00 3.777780320585754081e-01 4.035456989910521930e-01 7.539813373559207943e-02 1.231127261892188907e+00 1.645885415459857615e-01
2.135178721996690676e+00 1.586212148804596878e-01 1.007570357229623292e+00 7.784384182114331696e-02 4.146042953364177386e-01 1.506758472020068018e-01 1.221436908787217890e+00 3.259196971702755380e-02
2.116863772160712642e+00 1.222910704473809812e-01 1.069812577407816656e+00 1.729907743335666048e-01 4.143110239210385792e-01 1.349708071960624978e-01 1.237625174672514872e+00 9.382015270388613382e-02
2.152589624283750336e+00 2.318232720256721557e-01 1.137926202695490607e+00 2.318142901738259043e-01 4.046083417969652540e-01 1.301271878866888110e-01 1.267548935255269793e+00 2.011042642051069362e-01
2.120878696897947613e+00 1.728139312270973449e-01 1.097574708699522672e+00 1.535590270012530401e-01 4.122830344732399954e-01 1.408258017756299496e-01 1.230685721472238425e+00 1.047058587714402716e-01
2.042995856503555530e+00 1.657209361804523051e-01 1.107628748738647362e+00 2.097313262004794621e-01 4.118910445583480184e-01 1.236141912685016914e-01 1.240015828914714735e+00 1.459346127554981554e-01
2.306716805478160826e+00 8.347767744355818476e-01 1.011392496297569554e+00 -7.315403530324843251e-02 4.279709521990197607e-01 2.592747979569512973e-01 1.254320196165640500e+00 1.806850869340773380e-01
2.121676737306700922e+00 1.301983880946508687e-01 1.014400624794843164e+00 9.398673212236803576e-02 4.137372915275133733e-01 1.524042543141784778e-01 1.222967221115061065e+00 4.778687042208646513e-02
