# d0	d1	e0	e1	f0	f1	g0	g1	
# 
1.984950788040715230e-02 1.594326159061798809e-01 2.477394869103748468e-02 1.506505230270850648e-01 1.409750569952978021e-03 9.171001396477420145e-03 2.055606242559919277e-04 2.347274921175737574e-03
6.256098634447980478e-02 8.356529534556279837e-02 6.732881173035864739e-03 1.963595125062412780e-02 1.470924516865160453e-03 3.112176502778877911e-03 7.096431165494046034e-04 1.144551702659725705e-03
5.420252489091504679e-03 1.805255596721065323e-02 5.044028309405357985e-02 1.344556299940079802e-01 5.916845357576210832e-04 1.803496871270031301e-03 9.605314072582558829e-05 6.901253205534149584e-04
1.192676516892226812e-01 9.914172056316204740e-02 6.382994685002063226e-03 1.244039576981852482e-02 2.091461743512390732e-03 2.717731633561613035e-03 1.135820140532503662e-03 1.074630827576886390e-03
2.017772253349273126e-02 3.916071630456065961e-02 9.628733207876397082e-03 2.263106675135390100e-02 6.304155793870789507e-04 1.499702880984205185e-03 3.220802516212183065e-04 1.086503857257903934e-03
2.350596971534996485e-02 9.405586346270124187e-02 2.569703979726099298e-03 1.410221744834228019e-02 4.699001146864992674e-04 2.292799508508683824e-03 3.916961390364638454e-04 1.724705066312505388e-03
1.933678966516343134e-02 2.105480426868328730e-02 6.821863467368589895e-02 7.363951005177320208e-02 1.490441145805651308e-03 1.574610936639748125e-03 2.052353379952570904e-04 7.041814576328349600e-04
2.084614091061804536e-02 2.231727932960389169e-02 1.751084254596027567e-02 2.489602475858984296e-02 8.090328717058985469e-04 1.124193133411739449e-03 3.032537519912980261e-04 8.911481277049383394e-04
4.471892518886495110e-02 7.638015882609348883e-02 2.050597836939734367e-02 5.505675378819514104e-02 1.723169338792918288e-03 3.907642152173112018e-03 3.898804834070444293e-04 1.013220982750423797e-03
2.611234268972767100e-02 5.216837884531905917e-02 9.759632270785984637e-03 2.989509661665982684e-02 9.262803927985042551e-04 2.422792427842702673e-03 2.851049108613072235e-04 8.082903646655367281e-04
2.014358291158161590e-02 5.586386947854240365e-02 8.086157216724131763e-03 2.776959836614868032e-02 7.309414148991352648e-04 2.399506174927647055e-03 2.810421569304332313e-04 1.363798757884562233e-03
3.937608912425245855e-02 1.410717799559296770e-01 1.441983149865683038e-02 1.082326862540544110e-01 1.737820129474888656e-03 9.157304335209500573e-03 3.649646740624238358e-04 1.389003580442287967e-03
1.259768937760040626e-02 2.672544939077747816e-02 1.016720632604160499e-02 2.568370957458615544e-02 5.105537555364331832e-04 1.212739364326140224e-03 2.025042294423277380e-04 9.536311295808119325e-04
1.696998244717108917e-01 2.376312994776563214e-01 3.489947609444254365e-03 1.513693161202189427e-02 2.689625381487068239e-03 6.126441892544540711e-03 2.078577474089416451e-03 1.362634546073699651e-03
7.692049200421333111e-02 1.023301632913109771e-01 9.020398986730231161e-03 2.924591266924752089e-02 1.809383933500380206e-03 3.999277679243217962e-03 6.957034500977396681e-04 1.175070551849683636e-03
