1.289940e+01	1.302254e+01	1.925520e+05	1.752108e+18
1.302254e+01	1.314568e+01	1.458310e+05	1.764048e+18
1.314568e+01	1.326882e+01	1.105180e+05	1.775123e+18
1.326882e+01	1.339196e+01	8.328700e+04	1.776390e+18
1.339196e+01	1.351510e+01	6.142500e+04	1.739484e+18
1.351510e+01	1.363824e+01	4.546400e+04	1.708686e+18
1.363824e+01	1.376139e+01	3.300800e+04	1.647456e+18
1.376139e+01	1.388453e+01	2.342400e+04	1.550787e+18
1.388453e+01	1.400767e+01	1.649200e+04	1.449283e+18
1.400767e+01	1.413081e+01	1.104400e+04	1.286333e+18
1.413081e+01	1.425395e+01	7.495000e+03	1.156288e+18
1.425395e+01	1.437709e+01	4.812000e+03	9.883848e+17
1.437709e+01	1.450023e+01	2.880000e+03	7.850349e+17
1.450023e+01	1.462337e+01	1.687000e+03	6.095159e+17
1.462337e+01	1.474651e+01	9.530000e+02	4.584173e+17
1.474651e+01	1.486965e+01	4.630000e+02	2.924380e+17
1.486965e+01	1.499280e+01	2.040000e+02	1.720807e+17
1.499280e+01	1.511594e+01	6.800000e+01	7.604645e+16
1.511594e+01	1.523908e+01	3.700000e+01	5.363510e+16
1.523908e+01	1.536222e+01	5.000000e+00	9.849900e+15
