# d0	d1	f0	f1	g0	g1	B	
# 
2.315888138875483282e+00 8.458917258102773840e-01 4.426224369122030433e-01 2.180752686025859144e-01 1.262596214966574371e+00 2.307133221598852424e-01 8.625050034225816731e+00
2.299593472973123554e+00 6.367367140922021163e-01 4.364527527494311276e-01 1.965552331711925560e-01 1.268056107418883416e+00 1.612324017874853244e-01 8.397487607072221749e+00
2.165641262470546113e+00 9.312952962555738345e-01 4.414917036974462250e-01 1.946012490336529732e-01 1.244116145452324185e+00 2.341189483186121023e-01 3.239506182989766447e+00
2.151667641553259624e+00 3.078230945563146803e-01 4.171150643874477204e-01 1.795063228244559994e-01 1.222271913817902123e+00 4.424846975536197990e-02 9.746654118458332405e+00
2.270289185890828065e+00 6.962397473217434296e-01 4.398228110449955985e-01 2.163618863194425590e-01 1.254245288791284940e+00 1.718989469177039930e-01 8.189323633321746954e+00
2.386043207642829511e+00 1.136429249382651996e+00 4.538846431841471740e-01 2.402828150349584635e-01 1.284777116866244517e+00 3.010743829410157946e-01 8.064908977563218784e+00
2.297076462278068387e+00 7.919926132681280873e-01 4.465351109747953684e-01 2.294834085196083562e-01 1.247542554565651995e+00 1.996345873153753392e-01 7.448342366840167372e+00
2.237748769440686569e+00 7.988257378041874190e-01 4.477811261245817076e-01 2.080735263929565371e-01 1.256377999692861680e+00 2.092566471982250376e-01 8.947540455098549117e+00
2.387268772636441216e+00 4.427344496099564486e-01 4.351692749553771611e-01 2.154645097970036283e-01 1.268052622188236889e+00 1.231448378003870414e-01 7.767454588656624637e+00
2.148205635094341925e+00 4.639968560392805919e-01 4.185758615652732106e-01 1.962368069736425136e-01 1.225358285552279769e+00 9.516482092361090717e-02 7.570892352058335995e+00
