# d0	d1	f0	f1	g0	g1	B	
# 
3.654146418479879699e-03 1.121147359908101007e-02 9.428314170808064013e-04 7.940306999161416204e-03 1.066361165780138306e-04 1.109637749977137239e-04 1.668203662633578439e-05
4.003125255219995918e-03 1.068203535624636519e-02 8.038873910196411279e-04 9.002458516296918054e-03 1.343378912715006653e-04 1.407521274402087868e-04 2.322867231887008982e-05
3.580008466836299193e-03 1.338303160933202243e-02 7.103137309948786291e-04 6.272576569184891253e-03 1.122112523409774594e-04 1.425238983955080287e-04 1.756463493018307242e-05
3.559513559142125222e-03 1.029785125587056281e-02 5.906952385264673715e-04 6.340577089544131677e-03 1.174500851237529853e-04 1.173521631600179372e-04 1.974348345549927061e-05
3.123289160059985678e-03 1.130469862776852831e-02 8.792926401025607424e-04 1.041624728495906156e-02 9.572188343651689382e-05 1.259667404019371682e-04 1.615108322968005340e-05
4.327837731145785585e-03 1.263733155700199305e-02 1.497102725726562550e-03 8.237503391366465463e-03 1.346803416209154801e-04 1.309383908277654269e-04 2.610024856360304053e-05
3.420859016225672334e-03 9.097988163859442937e-03 5.539370511984929336e-04 6.860557825988621884e-03 1.238321769949332933e-04 1.144677920228022558e-04 2.519683217509406664e-05
5.311794366374243334e-03 3.017991935449566149e-02 2.427016683569317192e-03 1.151239757733902268e-02 1.401088206596128104e-04 3.518078273959028644e-04 1.914694343396735474e-05
5.437695151868684497e-03 1.985116592501368765e-02 3.618210335971187679e-03 1.379116900576069470e-02 1.343176115228780798e-04 1.671376718435183006e-04 2.202907403717798478e-05
3.192273482879678763e-03 1.123466706315479069e-02 5.676744356397997330e-04 5.819973529014994124e-03 1.071458724977900859e-04 1.192301983300488716e-04 1.906746310075942301e-05
2.873214520762526654e-03 9.554949969078831151e-03 6.359934304434028797e-04 8.668820973486101450e-03 9.577890948618371500e-05 1.323912270399993092e-04 1.496059194939882957e-05
3.632339256908028759e-03 1.611286970854730258e-02 9.940957651158107301e-04 7.973516845863533667e-03 1.102082487541946779e-04 1.525225817339464834e-04 1.809609211865838499e-05
3.249060124854291631e-03 1.027787457160317386e-02 5.109252576198366688e-04 8.059855720817566543e-03 1.091988322906357640e-04 1.373845924758415517e-04 1.794125398382331529e-05
