# d0	d1	f0	f1	g0	g1
1.979467084157703321e-03 2.027745451667079674e-02 5.885923208763724885e-06 1.331317661425109879e-04 8.765142296441761835e-05 1.094573424226136151e-03
2.306195869085070436e-03 1.935914403026092398e-02 4.894454818906531616e-06 1.238620396135970715e-04 9.381721646875599240e-05 1.041537305413232179e-03
2.071648080068315845e-03 2.467358371260474845e-02 7.431549815496117244e-06 1.655860887251382220e-04 9.237171913415107298e-05 1.312997160839592722e-03
2.880677183132099653e-03 2.180693822117631825e-02 4.174350823200132943e-06 1.029309167879091712e-04 9.405120747325284984e-05 9.323782193875155156e-04
2.313726270558004276e-03 2.277739129076817789e-02 5.492781010054118304e-06 1.632252830286604007e-04 9.380378883353332085e-05 1.246169718854127795e-03
1.858561551082585058e-03 2.244193623929724782e-02 6.658232770426226259e-06 1.514360758770185269e-04 8.315287115314069256e-05 1.178275519325670253e-03
2.421845731161692116e-03 2.491246038461058382e-02 6.944053251818271169e-06 1.793962033376898812e-04 1.003309610015136059e-04 1.303648096547998028e-03
1.663326298336373311e-03 2.090033806363115337e-02 7.229709106662656107e-06 1.436929815638533965e-04 8.008925610474645787e-05 1.076814922757340096e-03
5.762551787735928008e-03 4.025798624848078711e-02 5.487945927340651934e-06 9.000818533739194120e-05 1.445251346822696258e-04 1.240216040748368803e-03
3.302567978699516571e-03 2.903800381170107761e-02 5.829593263265985150e-06 1.673051558225987460e-04 1.146887282066547906e-04 1.379137008929006087e-03
2.400804980670263183e-03 2.325875452801840979e-02 5.890633166062374034e-06 1.863884486262659972e-04 9.827216280602160431e-05 1.295537843874521944e-03
1.735556665068392580e-03 2.074784628221203187e-02 5.637056586664859511e-06 1.416407675853063571e-04 8.165199524417459753e-05 1.171389980879860735e-03
2.912768078121616422e-03 2.284631917377645538e-02 4.282672368200413310e-06 1.203297121842150636e-04 9.918188430221891894e-05 1.044780842363436527e-03
1.728918564435766433e-03 1.813438916693493885e-02 5.887803207070636692e-06 1.106677786293013775e-04 8.149656720093412276e-05 9.555815878333563705e-04
1.581625026117526242e-03 2.019179738120047835e-02 5.594554723820521616e-06 1.240994475841206374e-04 7.460266262917084111e-05 1.069151172897921847e-03
1.829699215818933206e-03 2.387811276319796311e-02 6.197197052027334215e-06 1.558664257895885660e-04 8.369859347781121719e-05 1.307765655483247120e-03
1.884281600966685941e-03 1.948391588953884632e-02 5.596739083296676390e-06 1.171821482369567305e-04 8.455217087916291061e-05 1.063165822014058631e-03
3.203836053362888164e-03 2.454581465896292850e-02 5.316707774293408711e-06 1.404107819913863779e-04 1.126836188151113407e-04 1.141241640898564775e-03
2.207877481221832364e-03 2.176789565959467640e-02 5.576386778175233950e-06 1.558292052833163484e-04 8.991198769429572244e-05 1.183927874848991193e-03
1.721522013137461674e-03 2.000714280107333473e-02 6.275264735798430575e-06 1.449976987072867246e-04 7.797714899665613407e-05 1.075349651116074001e-03
2.731351550871435625e-03 2.284711592455271681e-02 4.554089721611405777e-06 1.664110710821444189e-04 9.243473109446470159e-05 1.125446023413706302e-03
1.666777879905022037e-03 1.969896650025540832e-02 5.504144495526499268e-06 1.261190442421381138e-04 7.594868455259722343e-05 1.066528992353329465e-03
2.700607251268804208e-03 2.401177657113581776e-02 5.607714338238832618e-06 1.618164008596586828e-04 1.004759315192222887e-04 1.190825549805287192e-03
2.601849731419069670e-03 2.368471154705142565e-02 4.566267759069371418e-06 1.415836399599157652e-04 9.313751245961312836e-05 1.152241239978143289e-03
