# d0	d1	f0	f1	g0	g1
2.408994032490550996e+00 8.474012626757272404e-01 4.488804435701462259e-01 2.251146139259410650e-01 1.282858952288733256e+00 2.275027009287293178e-01
2.469142381616522997e+00 4.839096643119670249e-01 4.406098739636818418e-01 2.218519113761669159e-01 1.292754854722306002e+00 1.415942839662700792e-01
2.504081523577079249e+00 1.067377816132277557e+00 4.660348156910908424e-01 2.492693895102433277e-01 1.303637685528605816e+00 3.085849673012458494e-01
2.223353797395072995e+00 -4.372515225690778995e-01 4.236407873452156525e-01 1.404154840484380939e-01 1.217739430764820607e+00 -1.083231521589995000e-01
2.309112514178762066e+00 4.498474381247374865e-01 4.260990060737401830e-01 1.968804347542626454e-01 1.255538945570431775e+00 9.524049578611214206e-02
2.311967846395125203e+00 1.057673175710116764e+00 4.389900400869492514e-01 2.449483225561187583e-01 1.258063522363527253e+00 2.762511072577127358e-01
2.226520266428106076e+00 9.217303232670186475e-01 4.443008260719549796e-01 2.267404538931817315e-01 1.243138686954796235e+00 2.543067974607229886e-01
2.100551662439686496e+00 2.715885304346810636e-01 4.119658068138653539e-01 1.800750075036412212e-01 1.207495907498949084e+00 4.604950444266076026e-02
2.215823633626084810e+00 8.014342791526380960e-01 4.428509005888536243e-01 1.949490219444415251e-01 1.257488199920242300e+00 2.035421677953088426e-01
2.320843748918153260e+00 8.416461722244700239e-01 4.431879048331915372e-01 2.182303071339234679e-01 1.263754519083603922e+00 2.298890143068753611e-01
2.268302724958262573e+00 7.116130343906218458e-01 4.351645549698043292e-01 2.003526970148457598e-01 1.261808434616088270e+00 1.750870659510703753e-01
2.167776261798124438e+00 9.281253098749393526e-01 4.418620160991174606e-01 1.945782390759951130e-01 1.244555542174970997e+00 2.338791875099202888e-01
2.155218980967713804e+00 3.467816177311449088e-01 4.179254257010362461e-01 1.812257635643782783e-01 1.223807405405657356e+00 5.283957259609791540e-02
2.271381390072369388e+00 6.925403247045814892e-01 4.402384344284190343e-01 2.162467199212767810e-01 1.254694243302668433e+00 1.712777412429345447e-01
2.388316509373858754e+00 1.137605740977417179e+00 4.542657355568474054e-01 2.407536806370042803e-01 1.285311128859312202e+00 3.016517814675028220e-01
2.296837495324635547e+00 7.915351848846131633e-01 4.467020522255410464e-01 2.299352787361708672e-01 1.247450339320549384e+00 1.993154101050686189e-01
2.238609551618197191e+00 8.065908106934307487e-01 4.481513083889908655e-01 2.087538555513859806e-01 1.256687653539061200e+00 2.117427245139134884e-01
2.356951098572171333e+00 5.361595690187579422e-01 4.341410988963103623e-01 2.204864870800452570e-01 1.262642162404276736e+00 1.403276627235099383e-01
2.149294669166473604e+00 4.693616728060653887e-01 4.189346050583164227e-01 1.967746656863188781e-01 1.225643505204094597e+00 9.662293611546020344e-02
