# d0	d1	e0\e1	f0	f1	g0	g1
1.864535585348565255e-03 9.804592299316247650e-02 2.890500892339788533e-02 2.441339362292117613e-06 3.061139077943125092e-03 8.568959051200581551e-05 2.207059935310504324e-03
1.381228928232587552e-03 3.397438334636387891e-02 1.873663873624310458e-02 2.550078312651132484e-06 1.316581862452119098e-03 7.952235554851074689e-05 7.408856339367106804e-04
2.096268312768383331e-03 1.099887184716031169e-01 7.006584864941699242e-02 2.385503400262343380e-06 4.334577797510238452e-03 8.676545864734333047e-05 1.626427348173466788e-03
1.445192251998875200e-03 3.522374212121962694e-02 1.181279337862000713e-02 2.798515418434891064e-06 1.016540327284244649e-03 8.949481703852831232e-05 1.074035137949501959e-03
1.485449123613073567e-03 5.164912016018367857e-02 6.157034737960009538e-03 3.196894757112484472e-06 9.173833568437365481e-04 9.126188982097218738e-05 2.043381440274081445e-03
1.534942552069803144e-03 2.424590542184215311e-02 1.305749553580766789e-02 2.746196128205584211e-06 8.891116400631574697e-04 8.288596372922431613e-05 6.220374312261072120e-04
1.437937288418245909e-03 2.666243922103591485e-02 1.364064554720405970e-02 2.362020838440288990e-06 9.396110023289970482e-04 8.396707781080546486e-05 6.715897342021212970e-04
2.199160950767930015e-03 5.964386877591796449e-02 4.944547177475468180e-02 2.716982269932219838e-06 2.836977196555368411e-03 8.959053608144267934e-05 9.200341671169964776e-04
1.681604896397110140e-03 5.138595972845372284e-02 3.217106067726670238e-02 2.316380464677224688e-06 2.299071963666319673e-03 8.396532229669497458e-05 8.905023972092390716e-04
1.515290699728621699e-03 5.533895796279714174e-02 1.401584605149903441e-02 3.046862150489384427e-06 1.640465169769460014e-03 8.714433832803357579e-05 1.434032196788584792e-03
2.301384915187718212e-03 5.781526361612903536e-02 4.956024960904505811e-02 2.583821258458323144e-06 3.730934117330521153e-03 9.472268655858288573e-05 8.605232594120266641e-04
1.292469658505856914e-03 3.121947347291875036e-02 1.322924654108231096e-02 2.469697650834103404e-06 1.013614628547708811e-03 7.396198652524917875e-05 7.759727473022106628e-04
1.743644825924903696e-03 8.362335101405919680e-02 1.534977696053652779e-02 2.222006513745739539e-06 2.217193352202858573e-03 6.947935907655335250e-05 2.211195697378289231e-03
1.880632063959684040e-03 1.098312097565838780e-01 6.149585151940949179e-02 2.388175621626292599e-06 4.444216113975670880e-03 8.011224186493723896e-05 1.744063434990688775e-03
