# d0	d1	e0\e1	f0	f1	g0	g1
2.088600516350956671e+00 1.501340149746590302e-01 1.925005238611608716e-01 4.081886255827981147e-01 1.307898149536518562e-01 1.228909320050545873e+00 1.287242112918637049e-01
2.143701841440657230e+00 1.377086633956817741e-01 2.213072140368838314e-01 4.118904482356047780e-01 1.326081327056673476e-01 1.251294456561696800e+00 1.629451528610470767e-01
2.173609020270115710e+00 6.465699896473167674e-02 3.190765758930769747e-01 4.262844674357597063e-01 1.011342017776813151e-01 1.270653198089667146e+00 2.056453190409581744e-01
1.980795873493891301e+00 -1.361857779353401188e-01 4.322571987588723075e-01 3.978803451896341659e-01 5.982866442478716740e-02 1.211675090995679049e+00 8.511605145664831451e-02
1.924154051708200752e+00 -5.329948277723470934e-02 3.303706090755714753e-01 3.948474393473698774e-01 8.082358559012749188e-02 1.202662869535651380e+00 5.947766903494512702e-02
2.174221480078649904e+00 -6.333025922094925875e-02 3.858403866563387408e-01 4.077766551611798351e-01 8.334923082339577849e-02 1.260615720540692486e+00 1.536072830906138609e-01
1.888672643735918255e+00 2.651114980622212292e-01 -5.783321422456916966e-02 3.808032658534371562e-01 1.766935434202454303e-01 1.188339053408868251e+00 2.523015037407405278e-02
1.966952596947822096e+00 -1.176615349683961531e-01 5.043324031701472698e-01 3.957868970311272938e-01 5.353477436107671739e-02 1.208747879488162758e+00 7.632694872369531758e-02
2.210398721031405778e+00 -1.216461024027815779e-01 3.851589803667488376e-01 4.106340127016918640e-01 7.891996926436760373e-02 1.264591925461479027e+00 1.324911038643682704e-01
2.242450689205261583e+00 1.006369626933950046e-01 2.664356910179969951e-02 4.010681987570973162e-01 1.860923387332979184e-01 1.267841623830178621e+00 7.432022742864784204e-02
2.347705626276635371e+00 6.385243548815187076e-01 9.498373422934311416e-02 4.270056148856040124e-01 2.074973526361275633e-01 1.302014494525028931e+00 3.186959179871288739e-01
2.092028808442448540e+00 -9.097933140628668147e-02 -2.264271583496807183e-01 3.899240330648714448e-01 2.180330703976893492e-01 1.208062528603418340e+00 -7.599712662735019775e-02
2.148355813390301794e+00 3.195049146778730087e-01 -7.769841470733869493e-02 3.911825482243468932e-01 2.043975065966043003e-01 1.241186732979886909e+00 6.355553483539830295e-02
2.104387365246454422e+00 4.224032815344381242e-01 8.262143985596075157e-02 4.033412398133418009e-01 1.728769741566933971e-01 1.235850575811120899e+00 1.747031766261229746e-01
2.045491502889423607e+00 7.478062748345355726e-02 3.292975215642695019e-01 4.106438779019027097e-01 1.044535578228284328e-01 1.227677933077572447e+00 1.677630049529952871e-01
1.946696009289077711e+00 3.017342272981048401e-01 -1.116270764028160778e-01 3.823278618523620609e-01 2.013676623267753873e-01 1.192530937448589068e+00 3.988672291348492605e-02
2.072558665845812609e+00 2.347862676109890023e-01 2.405614630439464052e-01 4.108651647374703675e-01 1.176708572662949481e-01 1.253428405199455975e+00 1.858437916311571070e-01
