# d0	d1	e0\e1	f0	f1	g0	g1
2.079195940963746381e+00 -9.709962329072713283e-02 4.053768292058411160e-01 4.077066508294193148e-01 7.461427597913239396e-02 1.225363961129323442e+00 1.097353081904080124e-01
2.136693342472612667e+00 8.727241887506126394e-02 2.746105636372789816e-01 4.119036982349433829e-01 1.184039135119265562e-01 1.249352542401640065e+00 1.599355161673078340e-01
2.184686524448751666e+00 2.440466641333391140e-01 2.465050707366905347e-01 4.268218939382187882e-01 1.283700017367385426e-01 1.274030117811599139e+00 2.356633143171209532e-01
1.980847882676659566e+00 -1.099975090861488869e-01 4.125815203592497760e-01 3.979258357637850407e-01 6.513205800058399775e-02 1.211889432227950092e+00 8.807762046669194433e-02
1.927938428268569426e+00 -3.969707746887433247e-03 3.012964788751727463e-01 3.950419915302231244e-01 8.898508643495370296e-02 1.203657725082760477e+00 6.656760026712642275e-02
2.165379073889496464e+00 -2.844350542903218218e-02 3.782958163989863509e-01 4.075128644017845803e-01 8.678020670229873168e-02 1.258567805094504610e+00 1.585947486812838425e-01
1.878410512763726059e+00 -6.537055143135282742e-02 2.400151543887747707e-01 3.807334462212823567e-01 1.059368056936060426e-01 1.185594030275355593e+00 -5.538555928902675826e-03
1.965405556509024265e+00 -6.754318787458084283e-02 4.738572523735428144e-01 3.959221950805545953e-01 6.210973126120414994e-02 1.208725795022666860e+00 8.189157972222402271e-02
2.210710047409641277e+00 -6.776011403195192351e-02 3.611265357475594850e-01 4.107038497831718704e-01 8.750366447020045679e-02 1.264762741739987817e+00 1.398260854518243723e-01
2.236708211862143969e+00 -5.731421012401215209e-02 1.245731114926642014e-01 4.007454710700404377e-01 1.558760702328329251e-01 1.265820295099869153e+00 5.772915625982347199e-02
2.342927552675563518e+00 5.789119904306854192e-01 1.171360493964148514e-01 4.268961574803360470e-01 1.980391539598296557e-01 1.300818163251795889e+00 3.084239989375248125e-01
2.074118172795489823e+00 -4.020115722567813021e-01 5.928782474230459565e-02 3.895980469941705548e-01 1.412523120804809185e-01 1.204072889386605505e+00 -9.694260267802162767e-02
2.131134525538889157e+00 1.569016590821156465e-01 1.087587737375512037e-01 3.902407891853786337e-01 1.594952049529012872e-01 1.236032289490023750e+00 5.875081958992559028e-02
2.103302170705644514e+00 3.378910056474436208e-01 1.554948883855643560e-01 4.032154760336712496e-01 1.540558459173724803e-01 1.235087719269642781e+00 1.683658023445007701e-01
2.054432770388857410e+00 -4.360704661596984805e-02 4.295135737493117056e-01 4.109986513838929101e-01 7.988435244840946803e-02 1.228787430307389572e+00 1.609093941297809471e-01
1.932973284918353407e+00 -1.975299639460202997e-02 1.663461126288973968e-01 3.821118324380659015e-01 1.317703293175767065e-01 1.189174925619663092e+00 9.924516109598661290e-03
2.066631200302531113e+00 1.337092563962307967e-01 3.080595277496950835e-01 4.108654117819257601e-01 9.865081825462315712e-02 1.251431300928284474e+00 1.732372110943474486e-01
2.152284461283783923e+00 4.016655266568383564e-01 9.925383495906833775e-02 4.085632404073641921e-01 1.733262706151135757e-01 1.254828677804352477e+00 2.107271739748276529e-01
2.080710363999694223e+00 -1.208380034170985357e-01 3.583231985026305577e-01 4.010091060920910611e-01 7.950787559633849810e-02 1.243452818138985894e+00 8.822992359060224943e-02
2.015126264037682802e+00 1.084936882565758626e-01 3.693122278637145928e-01 4.099513274498746696e-01 7.883626268373454538e-02 1.235413421084910368e+00 1.749184063265344924e-01
1.979529961016208484e+00 -1.723687519652775946e-01 3.273966139904820882e-01 3.862330611582326378e-01 8.686765320591482986e-02 1.204084176563919195e+00 -3.536951819556328168e-03
2.060090459130370810e+00 -4.332569832828042644e-02 3.086460114161346802e-01 4.050883183452931302e-01 9.961570287492280129e-02 1.229570432952712400e+00 7.611388744430501452e-02
2.214588456129616301e+00 2.162715203590524771e-01 2.812707937311842432e-01 4.167925570991287132e-01 1.192586557479277248e-01 1.274057442821681541e+00 2.118577828853028255e-01
2.092502969361806020e+00 -1.544800237880872840e-01 5.229607441651258348e-01 4.105390944982124091e-01 4.658554279223538208e-02 1.222632773973814091e+00 9.072802979984227745e-02
2.044041445901225273e+00 6.385344003156599724e-02 2.909023370054201196e-01 4.141514603727103894e-01 1.015414297969499530e-01 1.238260621548137319e+00 1.346000240078161492e-01
2.153564592915574227e+00 4.868166733760729281e-01 -1.027356381416033720e-01 3.976322278462647852e-01 2.354991052072537838e-01 1.239688693919036133e+00 1.171778375463028710e-01
1.972330478054852732e+00 1.130477766669195361e-01 1.361090533294764260e-01 3.879623326023505236e-01 1.446520338561994579e-01 1.206287711932230389e+00 4.469532426038860806e-02
