# e0	e1	f0	f1	g0	g1
4.427715338011075329e-03 3.079900150658636954e-02 3.079624894784956080e-04 2.056965519825943584e-03 5.690202015381067295e-05 5.617207396096389775e-04
4.969824306078227290e-03 2.832244098338310839e-02 3.156256066386788940e-04 1.744473325369379950e-03 5.295664369255745964e-05 4.514201376719018848e-04
5.636945320770749349e-03 3.255308099510641900e-02 3.097425535575107055e-04 1.891252262289445539e-03 2.858180667788623539e-05 2.956354535865331179e-04
4.455886779265899253e-03 3.030532383105745409e-02 2.465848753619410776e-04 1.558772121407367602e-03 4.774520022732080520e-05 4.727997106550053128e-04
1.130221174716348510e-02 2.917880827002509309e-02 9.616883562538223800e-04 3.042065470013100969e-03 4.288450536943913858e-05 5.092954609443297925e-04
1.414344435514221753e-02 1.063263605797466760e-01 1.102997329030864712e-03 8.077659533161862804e-03 9.165768064689546065e-05 9.554019844227652379e-04
6.131402777694445506e-03 4.306608349653399948e-02 3.923075952935429177e-04 2.602640305464323355e-03 5.260192071110989209e-05 5.034033774334325216e-04
2.948726936763116334e-03 2.404906302955804598e-02 2.120177926545907543e-04 1.599633632330812105e-03 5.881578750751378129e-05 6.582165336302623617e-04
7.046543524460272684e-03 3.621790222861122344e-02 5.222181211691713423e-04 2.780417412582605104e-03 5.841133222848575701e-05 4.394067671728955644e-04
2.388270049177825503e-03 1.863601281907134935e-02 1.517023632224900409e-04 1.087676128857374518e-03 4.867274419454479877e-05 5.495087205927039805e-04
2.880100272886175049e-03 2.101568286089267393e-02 1.753533682807424633e-04 1.178935923749952711e-03 4.645452055792510018e-05 5.219492716693262084e-04
3.357626531945788473e-03 2.303228356036565033e-02 2.210129061897875193e-04 1.482064078267448246e-03 5.318727081047725777e-05 5.049063653895703328e-04
2.443141402943104033e-03 1.948647445246947177e-02 1.602560105377266481e-04 1.152503653625438313e-03 4.891636670203329209e-05 5.557699235036944263e-04
7.170390077092806541e-03 4.555280473149016240e-02 5.859157632830072236e-04 3.714693880782896952e-03 6.308947484029621151e-05 5.970048344888347416e-04
6.050767562395924400e-03 4.389694598113233481e-02 4.324000332203469855e-04 3.011931049605381678e-03 6.174561850194442965e-05 5.938113875320647850e-04
4.598475517830357025e-03 2.919801958805435041e-02 2.829034242444684790e-04 1.697868074341790483e-03 5.337236299359081636e-05 4.662799955642277358e-04
1.180838716139027446e-02 1.029339425829430693e-01 8.453738519019841349e-04 6.962130523767582659e-03 7.100396687793910614e-05 7.872986234463054010e-04
2.534019168139879392e-03 2.028444967988689632e-02 1.813617460881554227e-04 1.349546944060355360e-03 5.193319915816803096e-05 5.691790692516346525e-04
1.004325975901777454e-02 5.105484902399214792e-02 5.424681025806359861e-04 3.002116465951119254e-03 3.842501128711333947e-05 2.981009354824377521e-04
5.854823684719640681e-03 4.167504003065847229e-02 4.317694943729556917e-04 3.070673211913794130e-03 5.377909973628748776e-05 5.295505270276968171e-04
