# e0	e1	f0	f1	g0	g1
1.293943654973116697e+00 2.071930904136819185e-01 3.579857980860108313e-01 1.294722119270419469e-01 1.242703584647331549e+00 1.211619678149583462e-01
1.139585309792293000e+00 -6.976716156659179546e-02 3.686191304382903655e-01 1.834454136301133798e-01 1.204552905642570337e+00 -1.337310803101296811e-02
1.185481966454750014e+00 6.059826940143731716e-02 3.744718632461347951e-01 1.588134292048556939e-01 1.219908014999098178e+00 4.552894355153636052e-02
1.286311186646370786e+00 2.118168040674714703e-01 3.625212950739593043e-01 1.227160704884973502e-01 1.239263588204549071e+00 1.031006686304827280e-01
1.438957856573877869e+00 -1.715710967382167440e-01 3.167861096278281607e-01 2.153395086447905116e-01 1.246450455221819187e+00 4.314229150756376113e-02
1.381986427038568221e+00 4.432688589258861334e-01 3.525376847934620361e-01 8.946241392502525536e-02 1.255397804505938186e+00 1.890733558084740362e-01
1.281646402587868661e+00 -4.885779463876556150e-01 3.396180052295437179e-01 2.860747012253521682e-01 1.198341761765972180e+00 -6.068795532982920737e-02
1.215106697637594158e+00 4.661278768495369373e-02 3.632661406988375585e-01 1.460264578347603703e-01 1.219905180596814853e+00 1.354673768104419640e-02
1.300783911734653797e+00 2.394479802848271388e-01 3.531220570880951870e-01 1.213790872684957917e-01 1.231179901175544655e+00 1.083106877906572230e-01
1.119163083257882940e+00 2.692731438031084057e-01 4.058281468897476651e-01 1.080727602716134439e-01 1.214013516720621189e+00 1.206468449627532830e-01
1.196938991719532330e+00 -1.395244421467832507e-01 3.573793120197394924e-01 2.033842173543442544e-01 1.206275173340198847e+00 -4.036451069296221467e-03
1.184186851595634193e+00 2.969379305952014603e-01 3.888608685436080736e-01 9.683842756533393714e-02 1.242462359939461969e+00 1.292022730321123192e-01
1.241370576129355641e+00 2.391113759478815937e-01 3.724135650107016082e-01 1.176310643606263417e-01 1.235800837212230885e+00 1.284388290878252237e-01
1.178650106792249908e+00 1.414329337527324426e-01 3.806928868676954791e-01 1.284612758620353179e-01 1.232086469319493505e+00 6.674392614073915153e-02
1.174543496762590289e+00 2.965395027694213703e-01 3.903412296717821417e-01 9.614428781811651392e-02 1.234112075661492725e+00 1.335320830604947995e-01
1.145396940379111328e+00 -1.055653791454999463e-01 3.750699970220615076e-01 1.880252010064215884e-01 1.206912842371637762e+00 -2.088479029170722465e-02
1.208415616590728492e+00 1.502303251596260047e-01 3.777426447004892385e-01 1.342168917937454076e-01 1.225671833163050506e+00 5.849552881953166278e-02
1.297285355648683414e+00 4.067588798856882626e-01 3.651033143960104588e-01 8.687649686109015501e-02 1.247051711372588745e+00 1.549017002470273185e-01
1.297084327708949658e+00 2.501454638261808583e-01 3.614336450706395198e-01 1.138761883681561893e-01 1.222329117323763592e+00 8.160810893390266219e-02
1.127134877705839200e+00 2.599821702555984437e-01 4.067455031355410866e-01 1.006732953506129374e-01 1.226285209269199150e+00 1.012506679753457928e-01
1.476243348897315233e+00 -1.537004248262043571e-01 3.054123828650942007e-01 2.141359933979999075e-01 1.237978454314444310e+00 4.964964064918780950e-02
1.194074484435945660e+00 -2.125905687538800354e-02 3.638964374280626024e-01 1.772468213120254876e-01 1.216128545502883185e+00 1.601591980890264624e-02
