# d0	d1	e0	e1	g0	g1
2.745938835704162972e+00 -4.790892989466284391e-01 8.868274106403020163e-01 5.235198099803919369e-01 1.305955392980859830e+00 2.258666458366381247e-01
2.757322902439333756e+00 -7.338855936933761370e-01 8.027914355522293155e-01 3.931230159524599088e-01 1.259531436766411217e+00 3.124895720800458312e-02
2.827971212879837992e+00 -3.837241683199840159e-01 9.001265489254680618e-01 5.054004742626468927e-01 1.346070002282859113e+00 2.489365259994463786e-01
2.897342683390507823e+00 -5.918815631443251624e-01 9.004877598167115860e-01 4.813459616827893139e-01 1.341669742898190520e+00 2.114366785538391580e-01
2.863304246036112666e+00 -5.188871006269578645e-01 8.765895776168818321e-01 4.563912550565221715e-01 1.331991049268664851e+00 1.642942347605755860e-01
2.757512858278810430e+00 -3.042858339295849701e-01 8.856779552730063010e-01 5.046120330321216541e-01 1.322032233517715039e+00 2.516892516121190249e-01
2.741465018739321025e+00 -6.139762446348340230e-01 8.144661929793465260e-01 4.002840909897582011e-01 1.269009982055548935e+00 3.807011480488643740e-02
2.706500641089070403e+00 -5.232037196218037867e-01 8.620640806713135706e-01 4.657724494193567488e-01 1.289746293290108481e+00 1.180735666400384576e-01
2.818442883014445677e+00 -3.566929376737683621e-01 9.088134392016152807e-01 5.213344346234012328e-01 1.338836765655760708e+00 2.524991118362712172e-01
2.623746551741113819e+00 -3.992088974982588301e-01 8.685667095760557510e-01 4.801102526293499206e-01 1.268377629774860127e+00 1.250888189413316698e-01
2.711862729090412927e+00 -4.478693110991491810e-01 8.896265074165875530e-01 4.871303834747577888e-01 1.312140370169013748e+00 1.881034977503193706e-01
2.790954751201992767e+00 -6.992104778449994562e-01 8.541307326059680571e-01 4.251254138621086143e-01 1.292163689189043341e+00 6.619228605695665069e-02
2.737502504658660740e+00 -6.352904566442375556e-01 8.172067832598005621e-01 4.233363412360586220e-01 1.271703156204932572e+00 6.167013466940399202e-02
